danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,edm,latin,pop,r&b,rap,rock,predicted_value
0.627,0.495,10.0,-11.236,0.0,0.127,0.4,3.48e-05,0.0714,0.305,120.088,212101.0,1,0,0,0,0,0,0.0
0.883,0.525,2.0,-8.054,0.0,0.0633,0.189,0.0,0.0971,0.312,99.978,174100.0,0,0,0,1,0,0,1.0
0.857,0.867,6.0,-4.952,0.0,0.0635,0.0271,0.0,0.128,0.918,104.382,253133.0,0,0,0,1,0,0,0.0
0.845,0.766,2.0,-5.727,0.0,0.0658,0.212,0.0,0.111,0.782,114.054,195924.0,0,0,1,0,0,0,0.0
0.476,0.99,6.0,-2.24,1.0,0.133,0.000361,3.25e-06,0.409,0.406,130.97,177853.0,0,0,0,0,0,1,0.0
0.739,0.688,9.0,-10.246,1.0,0.157,0.551,0.00118,0.101,0.582,169.829,231602.0,0,0,0,0,1,0,0.0
0.767,0.759,6.0,-6.516,1.0,0.117,0.0513,0.0,0.31,0.677,89.989,213027.0,0,0,0,1,0,0,0.0
0.821,0.527,4.0,-9.574,0.0,0.0314,0.14,0.0,0.0848,0.902,109.123,242600.0,0,0,0,1,0,0,0.0
0.733,0.873,11.0,-5.431,0.0,0.043,0.0976,0.00326,0.795,0.616,117.985,237627.0,0,1,0,0,0,0,0.0
0.443,0.608,3.0,-10.537,0.0,0.161,0.257,0.00205,0.13,0.807,142.406,222413.0,0,0,1,0,0,0,0.0
0.77,0.79,10.0,-5.453,0.0,0.0814,0.139,0.0,0.0829,0.872,93.97,195453.0,0,1,0,0,0,0,1.0
0.66,0.873,10.0,-6.952,1.0,0.0461,0.0152,0.00324,0.331,0.864,111.872,332307.0,0,0,0,1,0,0,0.0
0.693,0.572,8.0,-8.89,1.0,0.0746,0.127,0.953,0.102,0.732,130.048,160659.0,0,0,1,0,0,0,0.0
0.736,0.666,8.0,-4.503,1.0,0.0417,0.0795,1.89e-05,0.332,0.22,109.958,163040.0,0,0,0,1,0,0,0.0
0.691,0.812,0.0,-7.772,1.0,0.0558,0.0433,1.16e-06,0.299,0.685,127.568,220627.0,0,0,0,0,0,1,1.0
0.587,0.668,8.0,-5.79,0.0,0.0435,0.222,0.0,0.0589,0.124,93.974,175851.0,1,0,0,0,0,0,0.0
0.673,0.894,0.0,-2.73,1.0,0.0594,0.148,3.4e-06,0.141,0.63,118.894,219240.0,0,1,0,0,0,0,0.0
0.588,0.627,5.0,-7.249,0.0,0.0453,0.0149,0.105,0.375,0.39,112.018,182143.0,0,0,1,0,0,0,0.0
0.458,0.54,5.0,-6.457,0.0,0.027,0.715,0.000428,0.115,0.657,142.218,191205.0,0,0,0,1,0,0,0.0
0.862,0.621,7.0,-7.865,1.0,0.0618,0.0543,0.0959,0.108,0.134,127.991,208279.0,1,0,0,0,0,0,0.0
0.743,0.709,3.0,-3.922,0.0,0.0879,0.0451,5.18e-06,0.0809,0.831,170.001,258600.0,0,1,0,0,0,0,1.0
0.599,0.92,2.0,-2.843,1.0,0.13,0.00119,0.403,0.209,0.285,179.986,185333.0,1,0,0,0,0,0,0.0
0.922,0.652,6.0,-6.086,0.0,0.0372,0.654,0.0078,0.34,0.836,100.023,256948.0,0,1,0,0,0,0,0.0
0.644,0.768,4.0,-4.735,0.0,0.0544,0.000384,0.0609,0.154,0.0813,130.021,286314.0,1,0,0,0,0,0,0.0
0.563,0.476,4.0,-13.342,1.0,0.0329,0.265,0.0,0.494,0.432,121.67,259293.0,0,0,0,0,0,1,0.0
0.697,0.685,7.0,-7.005,1.0,0.0712,0.14,0.0,0.0824,0.808,94.06,122853.0,0,0,0,0,1,0,0.0
0.423,0.851,9.0,-6.142,1.0,0.112,0.00271,0.0,0.107,0.422,184.927,181080.0,0,0,1,0,0,0,0.0
0.715,0.681,3.0,-6.702,0.0,0.05,0.146,0.0802,0.139,0.697,99.988,215813.0,0,1,0,0,0,0,0.0
0.504,0.963,10.0,-2.77,0.0,0.0828,0.000418,9.53e-05,0.102,0.554,94.999,178105.0,0,0,0,0,0,1,0.0
0.553,0.484,11.0,-8.655,1.0,0.0366,0.651,0.0,0.126,0.228,126.824,209000.0,0,0,1,0,0,0,1.0
0.613,0.634,9.0,-7.375,0.0,0.0266,0.0173,0.0844,0.118,0.496,107.009,270000.0,0,0,1,0,0,0,0.0
0.772,0.256,7.0,-8.545,0.0,0.0481,0.491,0.00612,0.144,0.357,118.902,210240.0,0,0,0,1,0,0,1.0
0.373,0.609,0.0,-7.0,1.0,0.0316,0.108,0.000427,0.0755,0.354,179.955,270680.0,0,0,0,0,0,1,0.0
0.603,0.952,6.0,-3.699,1.0,0.0947,0.00189,0.000445,0.317,0.588,133.97,163627.0,0,0,1,0,0,0,0.0
0.597,0.848,4.0,-5.458,1.0,0.0406,0.173,0.0,0.373,0.324,139.876,233896.0,0,1,0,0,0,0,0.0
0.682,0.609,2.0,-9.415,1.0,0.12,0.199,4.48e-06,0.0702,0.458,82.271,322213.0,0,0,0,0,0,1,0.0
0.679,0.83,9.0,-5.461,1.0,0.0423,0.00772,0.000209,0.102,0.592,113.906,233982.0,0,0,1,0,0,0,0.0
0.763,0.85,7.0,-3.052,1.0,0.0417,0.0304,1.21e-06,0.371,0.761,91.519,284907.0,0,0,0,0,1,0,0.0
0.774,0.58,4.0,-8.278,0.0,0.0282,0.758,4.76e-05,0.126,0.788,125.956,170539.0,0,0,1,0,0,0,0.0
0.833,0.681,1.0,-6.028,0.0,0.215,0.0956,0.0,0.0414,0.887,95.48,282533.0,0,0,0,1,0,0,0.0
0.64,0.992,4.0,-3.318,0.0,0.0585,0.0832,0.0083,0.109,0.479,123.951,166237.0,0,0,1,0,0,0,0.0
0.765,0.791,0.0,-6.738,0.0,0.207,0.22,0.0,0.0583,0.768,99.271,210040.0,0,0,0,1,0,0,1.0
0.632,0.83,7.0,-5.193,0.0,0.063,0.0485,0.079,0.566,0.319,128.013,349507.0,1,0,0,0,0,0,0.0
0.7,0.402,5.0,-9.93,0.0,0.278,0.0498,1.04e-06,0.16,0.499,77.871,300600.0,0,0,0,0,1,0,1.0
0.484,0.0874,0.0,-17.796,1.0,0.0394,0.894,0.154,0.11,0.219,94.163,256120.0,0,0,0,0,0,1,0.0
0.71,0.312,1.0,-11.451,0.0,0.0857,0.938,0.909,0.109,0.25,169.955,216015.0,0,1,0,0,0,0,0.0
0.777,0.779,0.0,-4.449,0.0,0.0972,0.0543,0.0,0.636,0.768,94.023,221653.0,0,1,0,0,0,0,1.0
